time,name,country,event,gender,year
09:21.3,Purity Kirui,Kenya,3000m Steeplechase,female,2018
09:22.0,Luiza Gega,Albania,3000m Steeplechase,female,2018
09:22.3,Fabienne Schlumpf,Switzerland,3000m Steeplechase,female,2018
09:22.9,Joan Chepkemoi,Kenya,3000m Steeplechase,female,2018
09:23.4,Mary Wanjiru,Kenya,3000m Steeplechase,female,2018
09:23.7,Genevieve LaCaze,Australia,3000m Steeplechase,female,2018
09:23.9,Fancy Cherono,Kenya,3000m Steeplechase,female,2018
09:27.0,Woynshet Ansa,Ethiopia,3000m Steeplechase,female,2018
09:28.6,Marusa Mismas,Slovenia,3000m Steeplechase,female,2018
09:29.4,Mercy Chepkurui,Kenya,3000m Steeplechase,female,2018
09:29.7,Adva Cohen,Israel,3000m Steeplechase,female,2018
09:29.8,Elena Burkard,Germany,3000m Steeplechase,female,2018
09:30.6,Caroline Chepkurui,Kenya,3000m Steeplechase,female,2018
09:31.4,Habiba Ghribi,Tunisia,3000m Steeplechase,female,2018
09:31.7,Anna Emilie Møller,Denmark,3000m Steeplechase,female,2018
09:31.8,Ophélie Claude-Boxberger,France,3000m Steeplechase,female,2018
09:31.8,Irene Sánchez,Spain,3000m Steeplechase,female,2018
09:32.1,Rosie Clarke,Great Britain,3000m Steeplechase,female,2018
09:32.7,Mel Lawrence,United States,3000m Steeplechase,female,2018
09:34.0,Isabel Mattuzzi,Italy,3000m Steeplechase,female,2018
09:35.2,Geneviève Lalonde,Canada,3000m Steeplechase,female,2018
09:35.4,Viktória Gyürkés,Hungary,3000m Steeplechase,female,2018
09:35.5,Özlem Kaya,Turkey,3000m Steeplechase,female,2018
09:36.2,Emma Oudiou,France,3000m Steeplechase,female,2018
09:36.3,Jana Sussmann,Germany,3000m Steeplechase,female,2018
09:37.3,Nataliya Strebkova,Ukraine,3000m Steeplechase,female,2018
09:37.3,Regan Yee,Canada,3000m Steeplechase,female,2018
09:37.9,Katarzyna Kowalska,Poland,3000m Steeplechase,female,2018
09:38.6,Allie Ostrander,United States,3000m Steeplechase,female,2018
09:39.1,Natalya Koloskova,Russia,3000m Steeplechase,female,2018
09:39.3,Antje Möldner-Schmidt,Germany,3000m Steeplechase,female,2018
09:39.6,Sudha Singh,India,3000m Steeplechase,female,2018
09:39.7,Tugba Güvenç,Turkey,3000m Steeplechase,female,2018
09:39.9,Mercy Wanjiru,Kenya,3000m Steeplechase,female,2018
09:41.2,Alicja Konieczek,Poland,3000m Steeplechase,female,2018
14:21.7,Hellen Obiri,Kenya,5000m,female,2018
14:22.3,Sifan Hassan,Netherlands,5000m,female,2018
14:23.1,Letesenbet Gidey,Ethiopia,5000m,female,2018
14:23.3,Senbere Teferi,Ethiopia,5000m,female,2018
14:24.2,Agnes Tirop,Kenya,5000m,female,2018
14:26.9,Genzebe Dibaba,Ethiopia,5000m,female,2018
14:34.4,Shelby Houlihan,United States,5000m,female,2018
14:44.0,Caroline Kipkirui,Kenya,5000m,female,2018
14:51.3,Gudaf Tsegay,Ethiopia,5000m,female,2018
14:52.8,Eilish McColgan,Great Britain,5000m,female,2018
14:53.1,Loice Chemnung,Kenya,5000m,female,2018
14:57.6,Yasemin Can,Turkey,5000m,female,2018
15:01.2,Lilian Rengeruk,Kenya,5000m,female,2018
15:01.4,Molly Huddle,United States,5000m,female,2018
15:02.0,Margaret Kipkemboi,Kenya,5000m,female,2018
15:02.4,Karissa Schweizer,United States,5000m,female,2018
15:03.7,Konstanze Klosterhalfen,Germany,5000m,female,2018
15:04.1,Dominique Scott Efurd,South Africa,5000m,female,2018
15:04.8,Melissa Courtney,Great Britain,5000m,female,2018
15:05.2,Meskerem Mamo,Ethiopia,5000m,female,2018
15:06.2,Madeline Hills,Australia,5000m,female,2018
15:06.8,Gloria Kite,Kenya,5000m,female,2018
15:07.9,Aberash Minsewo,Ethiopia,5000m,female,2018
15:08.1,Kalkidan Gezahegne,Bahrain,5000m,female,2018
15:08.2,Meraf Bahta,Sweden,5000m,female,2018
15:08.2,Marielle Hall,United States,5000m,female,2018
15:08.6,Rosemary Monicah Wanjiru,Kenya,5000m,female,2018
15:09.4,Eva Cherono,Kenya,5000m,female,2018
15:09.6,Vanessa Fraser,United States,5000m,female,2018
15:09.7,Susan Krumins,Netherlands,5000m,female,2018
15:10.9,Rina Nabeshima,Japan,5000m,female,2018
15:11.0,Alice Nawowuna,Kenya,5000m,female,2018
15:11.3,Sarah Pagano,United States,5000m,female,2018
15:12.2,Elena Burkard,Germany,5000m,female,2018
15:13.7,Emily Sisson,United States,5000m,female,2018
15:14.8,Ednah Kurgat,Kenya,5000m,female,2018
15:15.2,Lauren Paquette,United States,5000m,female,2018
15:15.2,Weini Kelati,Eritrea,5000m,female,2018
15:15.3,Beatrice Chepkoech,Kenya,5000m,female,2018
15:15.4,Andrea Seccafien,Canada,5000m,female,2018
15:15.5,Sharon Lokedi,Kenya,5000m,female,2018
15:15.5,Emily Infeld,United States,5000m,female,2018
15:15.6,Gwen Jorgensen,United States,5000m,female,2018
15:15.6,Grace Kimanzi,Kenya,5000m,female,2018
15:15.8,Jip Vastenburg,Netherlands,5000m,female,2018
15:15.9,Rachel Schneider,United States,5000m,female,2018
15:16.1,Ancuţa Bobocel,Romania,5000m,female,2018
15:16.3,Kate Van Buskirk,Canada,5000m,female,2018
15:16.4,Allie Ostrander,United States,5000m,female,2018
15:16.5,Helen Lobun,Kenya,5000m,female,2018
30:41.9,Pauline Kamulu,Kenya,10000m,female,2018
31:31.2,Stacy Ndiwa,Kenya,10000m,female,2018
31:33.0,Lonah Chemtai Salpeter,Israel,10000m,female,2018
31:36.1,Alice Nawowuna,Kenya,10000m,female,2018
31:38.4,Mercyline Chelangat,Uganda,10000m,female,2018
31:39.0,Stella Chesang,Uganda,10000m,female,2018
31:41.5,Gloria Kite,Kenya,10000m,female,2018
31:43.1,Ancuţa Bobocel,Romania,10000m,female,2018
31:45.3,Gete Alemayehu,Ethiopia,10000m,female,2018
31:49.8,Beatrice Mutai,Kenya,10000m,female,2018
31:50.2,Natasha Wodak,Canada,10000m,female,2018
31:50.8,Celia Sullohern,Australia,10000m,female,2018
31:51.1,Pauline Korikwiang,Kenya,10000m,female,2018
31:52.3,Molly Huddle,United States,10000m,female,2018
31:52.4,Mizuki Matsuda,Japan,10000m,female,2018
31:52.5,Susan Krumins,Netherlands,10000m,female,2018
31:54.8,Jessica Tonn,United States,10000m,female,2018
31:55.7,Gwen Jorgensen,United States,10000m,female,2018
31:56.4,Sarah Pagano,United States,10000m,female,2018
31:56.7,Marielle Hall,United States,10000m,female,2018
31:56.9,Rachel Cliff,Canada,10000m,female,2018
31:57.6,Chelsea Blaase,United States,10000m,female,2018
31:57.7,Rosemary Wanjiru,Kenya,10000m,female,2018
31:57.8,Ayuko Suzuki,Japan,10000m,female,2018
31:57.8,Carrie Dimoff,United States,10000m,female,2018
31:57.9,Mao Ichiyama,Japan,10000m,female,2018
31:58.0,Juliet Chekwel,Uganda,10000m,female,2018
32:00.6,Karissa Schweizer,United States,10000m,female,2018
32:01.0,Madeline Hills,Australia,10000m,female,2018
32:02.4,Grace Kimanzi,Kenya,10000m,female,2018
32:05.1,Stephanie Bruce,United States,10000m,female,2018
32:05.5,Yuka Hori,Japan,10000m,female,2018
32:06.3,*Emily Sisson,United States,10000m,female,2018
32:07.2,Darya Maslova,Kiribati,10000m,female,2018
32:07.7,Keiko Nogami,Japan,10000m,female,2018
32:08.6,Harumi Okamoto,Japan,10000m,female,2018
32:09.2,Sharon Lokedi,Kenya,10000m,female,2018
32:10.5,Sara Moreira,Portugal,10000m,female,2018
32:11.1,Eunice Chumba,Bahrain,10000m,female,2018
32:11.8,Dorcas Wasike,Kenya,10000m,female,2018
32:11.9,Sandra Tuei,Kenya,10000m,female,2018
32:12.8,Deshun Zhang,China,10000m,female,2018
32:13.7,Salomé Nyirarukundo,Rwanda,10000m,female,2018
32:13.8,Yukari Abe,Japan,10000m,female,2018
32:13.9,Honami Maeda,Japan,10000m,female,2018
32:15.1,Kaori Morita,Japan,10000m,female,2018
32:15.5,Ayumi Hagiwara,Japan,10000m,female,2018
32:15.7,Charlotte Arter,Great Britain,10000m,female,2018
32:15.7,Alice Wright,Great Britain,10000m,female,2018
32:17.0,Joyciline Jepkosgei,Kenya,10000m,female,2018
2:18:11,Gladys Cherono,Kenya,marathon,female,2018
2:18:31,Vivian Cheruiyot,Kenya,marathon,female,2018
2:18:34,Ruti Aga,Ethiopia,marathon,female,2018
2:18:35,Ruth Chepngetich,Kenya,marathon,female,2018
2:18:35,Brigid Kosgei,Kenya,marathon,female,2018
2:18:55,Tirunesh Dibaba,Ethiopia,marathon,female,2018
2:19:17,Roza Dereje,Ethiopia,marathon,female,2018
2:19:30,Feyse Tadesse,Ethiopia,marathon,female,2018
2:19:36,Yebrqual Melese,Ethiopia,marathon,female,2018
2:19:51,Berhane Dibaba,Ethiopia,marathon,female,2018
2:19:53,Worknesh Degefa,Ethiopia,marathon,female,2018
2:20:13,Haftamnesh Tesfay,Ethiopia,marathon,female,2018
2:20:36,Meskerem Assefa,Ethiopia,marathon,female,2018
2:20:45,Gelete Burka,Ethiopia,marathon,female,2018
2:21:14,Ashete Bekele,Ethiopia,marathon,female,2018
2:21:18,Edna Kiplagat,Kenya,marathon,female,2018
2:21:32,Bedatu Hirpa,Ethiopia,marathon,female,2018
2:21:38,Valary Aiyabei,Kenya,marathon,female,2018
2:21:40,Tadelech Bekele,Ethiopia,marathon,female,2018
2:21:42,Amy Cragg,United States,marathon,female,2018
2:21:45,Dera Dida,Ethiopia,marathon,female,2018
2:21:51,Azmera Abreha,Ethiopia,marathon,female,2018
2:21:53,Belaynesh Oljira,Ethiopia,marathon,female,2018
2:22:07,Shure Demise,Ethiopia,marathon,female,2018
2:22:11,Lydia Cheromei,Kenya,marathon,female,2018
2:22:23,Mizuki Matsuda,Japan,marathon,female,2018
2:22:29,Mimi Belete,Bahrain,marathon,female,2018
2:22:35,Marta Lema,Ethiopia,marathon,female,2018
2:22:45,Sintayehu Hailemichael,Ethiopia,marathon,female,2018
2:22:46,Nancy Kiprop,Kenya,marathon,female,2018
2:22:48,Mary Keitany,Kenya,marathon,female,2018
2:22:48,Helen Tola,Ethiopia,marathon,female,2018
2:22:56,Betsy Saina,Kenya,marathon,female,2018
2:22:58,Visiline Jepkesho,Kenya,marathon,female,2018
2:23:06,Gulume Tollesa,Ethiopia,marathon,female,2018
2:23:07,Hanami Sekine,Japan,marathon,female,2018
2:23:15,Sally Chepyego,Kenya,marathon,female,2018
2:23:28,Shasho Insermu,Ethiopia,marathon,female,2018
2:23:29,Ruth Chebitok,Kenya,marathon,female,2018
2:23:31,Azmera Gebru,Ethiopia,marathon,female,2018
2:23:34,Dibabe Kuma,Ethiopia,marathon,female,2018
2:23:37,Tinbit Weldegebril,Ethiopia,marathon,female,2018
2:23:39,Desi Jisa Mokonin,Bahrain,marathon,female,2018
2:23:40,Betty Lempus,Kenya,marathon,female,2018
2:23:43,Stella Barsosio,Kenya,marathon,female,2018
2:23:46,Linet Masai,Kenya,marathon,female,2018
2:23:46,Rahma Tusa,Ethiopia,marathon,female,2018
2:23:48,Honami Maeda,Japan,marathon,female,2018
2:23:54,Afera Godfay,Ethiopia,marathon,female,2018
2:24:08,Hirut Tibebu,Ethiopia,marathon,female,2018
01:55.2,Caster Semenya,South Africa,800m,female,2017
01:55.5,Francine Niyonsaba,Burkina Faso,800m,female,2017
01:55.6,Ajee’ Wilson,United States,800m,female,2017
01:56.8,Sifan Hassan,Holland,800m,female,2017
01:56.9,Margaret Wambui,Kenya,800m,female,2017
01:57.0,Melissa Bishop,Canada,800m,female,2017
01:57.0,Habitam Alemu,Ethiopia,800m,female,2017
01:57.4,Charlene Lipsey,United States,800m,female,2017
01:57.8,Eunice Sum,Kenya,800m,female,2017
01:58.0,Lynsey Sharp,Great Britain,800m,female,2017
01:58.1,Winny Chebet,Kenya,800m,female,2017
01:58.3,Aleksandra Gulyayeva,Russia,800m,female,2017
01:58.4,Angelika Cichocka,Poland,800m,female,2017
01:58.4,Brenda Martinez,United States,800m,female,2017
01:58.7,Laura Muir,Great Britain,800m,female,2017
01:58.8,Lovisa Lindh,Sweden,800m,female,2017
01:58.8,Nataliya Pryshchepa,Ukraine,800m,female,2017
01:59.1,Raevyn Rogers,United States,800m,female,2017
01:59.1,Rose M. Almanza,Cuba,800m,female,2017
01:59.2,Svetlana Uloga,Russia,800m,female,2017
01:59.3,Joanna Józwik,Poland,800m,female,2017
01:59.3,Kate Grace,United States,800m,female,2017
01:59.4,Genzebe Dibaba,Ethiopia,800m,female,2017
01:59.5,Selina Büchel,Switzerland,800m,female,2017
01:59.5,Laura Roesler,United States,800m,female,2017
01:59.6,Sanne Verstegen,Holland,800m,female,2017
01:59.7,Konstanze Klosterhalfen,Germany,800m,female,2017
01:59.7,Noélie Yarigo,Benin,800m,female,2017
01:59.8,Shelayna Oskan-Clarke,Great Britain,800m,female,2017
01:59.8,Olha Lyakhova,Ukraine,800m,female,2017
01:59.9,Hedda Hynne,Norway,800m,female,2017
02:00.0,Nelly Jepkosgei,Kenya,800m,female,2017
02:00.0,Kseniya Savina,Russia,800m,female,2017
02:00.0,Chrishuna Williams,United States,800m,female,2017
02:00.1,Aníta Hinriksdóttir,Iceland,800m,female,2017
02:00.2,Yusneysi Santiusti,Italy,800m,female,2017
02:00.2,Emily Jerotich,Kenya,800m,female,2017
02:00.2,Winnie Nanyondo,Uganda,800m,female,2017
02:00.3,Adelle Tracey,Great Britain,800m,female,2017
02:00.3,Yekaterina Kupina,Russia,800m,female,2017
03:56.1,Sifan Hassan,Holland,1500m,female,2017
03:57.0,Faith Kipyegon,Kenya,1500m,female,2017
03:57.8,Genzebe Dibaba,Ethiopia,1500m,female,2017
03:58.9,Konstanze Klosterhalfen,Germany,1500m,female,2017
03:59.2,Winny Chebet,Kenya,1500m,female,2017
03:59.5,Gudaf Tsegay,Ethiopia,1500m,female,2017
04:00.3,Laura Muir,Great Britain,1500m,female,2017
04:00.4,Hellen Obiri,Kenya,1500m,female,2017
04:00.5,Meraf Bahta,Sweden,1500m,female,2017
04:00.5,Dawit Seyaum,Ethiopia,1500m,female,2017
04:00.7,Jenny Simpson,United States,1500m,female,2017
04:00.7,Laura Weightman,Great Britain,1500m,female,2017
04:01.0,Besu Sado,Ethiopia,1500m,female,2017
04:01.6,Eilish McColgan,Great Britain,1500m,female,2017
04:01.6,Angelika Cichocka,Poland,1500m,female,2017
04:01.8,Rabab Arrafi,Morocco,1500m,female,2017
04:02.2,Susan Krumins,Holland,1500m,female,2017
04:02.8,Nelly Jepkosgei,Kenya,1500m,female,2017
04:02.8,Brenda Martinez,United States,1500m,female,2017
04:02.8,Caster Semenya,South Africa,1500m,female,2017
04:03.2,Beatrice Chepkoech,Kenya,1500m,female,2017
04:03.3,Sofia Ennaoui,Poland,1500m,female,2017
04:03.4,Malika Akkaoui,Morocco,1500m,female,2017
04:03.6,Gabriela Stafford,Canada,1500m,female,2017
04:03.6,Ciara Mageean,Ireland,1500m,female,2017
04:03.6,Kate Grace,United States,1500m,female,2017
04:03.7,Jessica Judd,Great Britain,1500m,female,2017
04:03.8,Maureen Koster,Holland,1500m,female,2017
04:03.9,Colleen Quigley,United States,1500m,female,2017
04:04.1,Hanna Klein,Germany,1500m,female,2017
04:04.3,Amanda Eccleston,United States,1500m,female,2017
04:04.4,Linden Hall,Australia,1500m,female,2017
04:04.5,Winfredah Nzisa,Kenya,1500m,female,2017
04:04.5,Aleksandra Gulyayeva,Russia,1500m,female,2017
04:04.4,Judy Kiyeng,Kenya,1500m,female,2017
04:04.6,Shannon Rowbury,United States,1500m,female,2017
04:04.6,Sara Vaughn,United States,1500m,female,2017
04:04.6,Stephanie Garcia,United States,1500m,female,2017
04:04.7,Alexa Efraimson,United States,1500m,female,2017
04:04.8,Nicole Sifuentes,Canada,1500m,female,2017
08:55.3,Ruth Jebet,Bahrain,3000m Steeplechase,female,2017
08:58.8,Celphine Chespol,Kenya,3000m Steeplechase,female,2017
08:59.8,Beatrice Chepkoech,Kenya,3000m Steeplechase,female,2017
09:00.1,Hyvin Jepkemoi,Kenya,3000m Steeplechase,female,2017
09:02.6,Emma Coburn,United States,3000m Steeplechase,female,2017
09:03.7,Norah Tanui,Kenya,3000m Steeplechase,female,2017
09:03.8,Courtney Frerichs,United States,3000m Steeplechase,female,2017
09:07.1,Sofia Assefa,Ethiopia,3000m Steeplechase,female,2017
09:11.9,Gesa-Felicitas Krause,Germany,3000m Steeplechase,female,2017
09:13.2,Etenesh Diro,Ethiopia,3000m Steeplechase,female,2017
09:13.4,Karoline Bjerkeli Grøvdal,Norway,3000m Steeplechase,female,2017
09:16.0,Colleen Quigley,United States,3000m Steeplechase,female,2017
09:19.3,Aisha Praught Leer,Jamaica,3000m Steeplechase,female,2017
09:19.7,Daisy Jepkemei,Kenya,3000m Steeplechase,female,2017
09:20.0,Habiba Ghribi,Tunisia,3000m Steeplechase,female,2017
09:20.1,Purity Kirui,Kenya,3000m Steeplechase,female,2017
09:20.2,Joan Chepkemoi,Kenya,3000m Steeplechase,female,2017
09:20.7,Rosefline Chepngetich,Kenya,3000m Steeplechase,female,2017
09:21.7,Fabienne Schlumpf,Switzerland,3000m Steeplechase,female,2017
09:22.7,Winfred Yavi,Bahrain,3000m Steeplechase,female,2017
09:24.0,Fadwa Sidi Madane,Morocco,3000m Steeplechase,female,2017
09:24.5,Genevieve LaCaze,Australia,3000m Steeplechase,female,2017
09:25.0,Birtukan Adamu,Ethiopia,3000m Steeplechase,female,2017
09:25.0,Stephanie Garcia,United States,3000m Steeplechase,female,2017
09:25.9,Amina Betiche,Algeria,3000m Steeplechase,female,2017
09:26.0,Belén Casetta,Algeria,3000m Steeplechase,female,2017
09:26.0,Tigist Mekonen,Bahrain,3000m Steeplechase,female,2017
09:26.1,Luiza Gega,Albania,3000m Steeplechase,female,2017
09:26.1,Tugba Güvenç,Turkey,3000m Steeplechase,female,2017
09:27.7,Peruth Chemutai,Uganda,3000m Steeplechase,female,2017
09:30.0,Geneviève Lalonde,Canada,3000m Steeplechase,female,2017
09:30.0,Woynshet Ansa,Ethiopia,3000m Steeplechase,female,2017
09:30.9,Marisa Howard,United States,3000m Steeplechase,female,2017
09:31.1,Caroline Chepkurui,Kenya,3000m Steeplechase,female,2017
09:31.6,Leah O’Connor,United States,3000m Steeplechase,female,2017
09:32.1,Rosie Clarke,Great Britain,3000m Steeplechase,female,2017
09:34.0,Birtukan Fente,Ethiopia,3000m Steeplechase,female,2017
09:34.3,Anna Emilie Møller,Denmark,3000m Steeplechase,female,2017
09:34.7,Yekaterina Sokolenko,Russia,3000m Steeplechase,female,2017
09:34.9,Mel Lawrence,United States,3000m Steeplechase,female,2017
14:18.4,Hellen Obiri,Kenya,5000m,female,2017
14:25.2,Genzebe Dibaba,Ethiopia,5000m,female,2017
14:27.5,Caroline Kipkirui,Kenya,5000m,female,2017
14:31.8,Senbere Teferi,Ethiopia,5000m,female,2017
14:32.8,Margaret Kipkemboi,Kenya,5000m,female,2017
14:33.1,Agnes Tirop,Kenya,5000m,female,2017
14:33.3,Letesenbet Gidey,Ethiopia,5000m,female,2017
14:36.8,Lilian Rengeruk,Kenya,5000m,female,2017
14:36.8,Yasemin Can,Turkey,5000m,female,2017
14:39.3,Beatrice Chepkoech,Kenya,5000m,female,2017
14:40.3,Etenesh Diro,Ethiopia,5000m,female,2017
14:40.4,Almaz Ayana,Ethiopia,5000m,female,2017
14:41.2,Sifan Hassan,Holland,5000m,female,2017
14:47.1,Irene Cheptai,Kenya,5000m,female,2017
14:48.5,Eilish McColgan,Great Britain,5000m,female,2017
14:49.1,Laura Muir,Great Britain,5000m,female,2017
14:51.2,Susan Krumins,Holland,5000m,female,2017
14:51.4,Konstanze Klosterhalfen,Germany,5000m,female,2017
14:53.4,Ruth Jebet,Bahrain,5000m,female,2017
14:53.4,Sintayehu Lewetegn,Ethiopia,5000m,female,2017
14:54.0,Sheila Kiprotich,Kenya,5000m,female,2017
14:54.7,Sheila Chelangat,Kenya,5000m,female,2017
14:56.3,Emily Infeld,United States,5000m,female,2017
14:56.4,Sofia Assefa,Ethiopia,5000m,female,2017
14:57.4,Azmera Gebru,Ethiopia,5000m,female,2017
14:57.6,Shannon Rowbury,United States,5000m,female,2017
14:58.2,Shuru Bulo,Ethiopia,5000m,female,2017
14:58.8,Pauline Kamulu,Kenya,5000m,female,2017
14:59.0,Shalane Flanagan,United States,5000m,female,2017
15:00.4,Shelby Houlihan,United States,5000m,female,2017
15:00.4,Darya Maslova,Kiribati,5000m,female,2017
15:00.4,Karoline Bjerkeli Grøvdal,Norway,5000m,female,2017
15:00.4,Alia Mohamed Saeed,United Arab Emirates,5000m,female,2017
15:01.6,Molly Huddle,United States,5000m,female,2017
15:02.1,Emily Sisson,United States,5000m,female,2017
15:03.3,Kidsan Alema,Ethiopia,5000m,female,2017
15:06.0,Gelete Burka,Ethiopia,5000m,female,2017
15:07.2,Kalkidan Gezahegne,Bahrain,5000m,female,2017
15:07.3,Dera Dida,Ethiopia,5000m,female,2017
15:08.0,Belaynesh Oljira,Ethiopia,5000m,female,2017
30:16.3,Almaz Ayana,Ethiopia,10000m,female,2017
30:40.9,Gelete Burka,Ethiopia,10000m,female,2017
30:41.7,Senbere Teferi,Ethiopia,10000m,female,2017
30:44.6,Belaynesh Oljira,Ethiopia,10000m,female,2017
30:56.5,Dera Dida,Ethiopia,10000m,female,2017
31:02.7,Tirunesh Dibaba,Ethiopia,10000m,female,2017
31:03.5,Agnes Tirop,Kenya,10000m,female,2017
31:05.1,Rahma Tusa,Ethiopia,10000m,female,2017
31:07.6,Veronica Nyaruai,Kenya,10000m,female,2017
31:11.9,Alice Nawowuna,Kenya,10000m,female,2017
31:13.1,Meraf Bahta,Sweden,10000m,female,2017
31:17.2,Amy Cragg,United States,10000m,female,2017
31:18.2,Yasemin Can,Turkey,10000m,female,2017
31:19.0,Desi Jisa Mokonin,Bahrain,10000m,female,2017
31:19.9,Molly Huddle,United States,10000m,female,2017
31:20.2,Susan Krumins,Holland,10000m,female,2017
31:20.4,Emily Infeld,United States,10000m,female,2017
31:21.1,Irene Cheptai,Kenya,10000m,female,2017
31:25.6,Goytatom Gebreselassie,Ethiopia,10000m,female,2017
31:25.6,Emily Sisson,United States,10000m,female,2017
31:27.3,Ayuko Suzuki,Japan,10000m,female,2017
31:29.7,Zinash Debebe,Ethiopia,10000m,female,2017
31:31.1,Shalane Flanagan,United States,10000m,female,2017
31:33.3,Yuka Takashima,Japan,10000m,female,2017
31:35.9,Kim Conley,United States,10000m,female,2017
31:37.8,Rose Chelimo,Bahrain,10000m,female,2017
31:38.7,Shitaye Eshete,Bahrain,10000m,female,2017
31:39.4,Mizuki Matsuda,Japan,10000m,female,2017
31:40.5,Mercyline Chelangat,Uganda,10000m,female,2017
31:41.1,Madeline Hills,Australia,10000m,female,2017
31:41.2,Rosemary Wanjiru,Kenya,10000m,female,2017
31:43.4,Juliet Chekwel,Uganda,10000m,female,2017
31:45.0,Camille Buscomb,New Zealand,10000m,female,2017
31:45.6,Katrina Wootton,Great Britain,10000m,female,2017
31:47.1,Pauline Kamulu,Kenya,10000m,female,2017
31:47.4,Failuna Abdi Matanga,Tanzania,10000m,female,2017
31:48.8,Miyuki Uehara,Japan,10000m,female,2017
31:49.0,Mao Ichiyama,Japan,10000m,female,2017
31:49.0,Alia Mohamed Saeed,United Arab Emirates,10000m,female,2017
31:54.6,Natosha Rogers,United States,10000m,female,2017
2:17:01,Mary Keitany,Kenya,marathon,female,2017
2:17:56,Tirunesh Dibaba,Ethiopia,marathon,female,2017
2:19:47,Sarah Chepchirchir,Kenya,marathon,female,2017
2:20:22,Brigid Kosgei,Kenya,marathon,female,2017
2:20:23,Gladys Cherono,Kenya,marathon,female,2017
2:20:41,Ruti Aga,Ethiopia,marathon,female,2017
2:20:53,Valary Aiyabei,Kenya,marathon,female,2017
2:20:55,Purity Rionoripo,Kenya,marathon,female,2017
2:20:57,Jordan Hasay,United States,marathon,female,2017
2:20:59,Agnes Barsosio,Kenya,marathon,female,2017
2:21:17,Eunice Jepkirui,Bahrain,marathon,female,2017
2:21:19,Birhane Dibaba,Ethiopia,marathon,female,2017
2:21:22,Filomena Cheyech,Kenya,marathon,female,2017
2:21:36,Yuka Ando,Japan,marathon,female,2017
2:21:37,Visiline Jepkesho,Kenya,marathon,female,2017
2:21:54,Tadelech Bekele,Ethiopia,marathon,female,2017
2:22:15,Amane Beriso,Ethiopia,marathon,female,2017
2:22:36,Worknesh Degefa,Ethiopia,marathon,female,2017
2:22:51,Yebrqual Melese,Ethiopia,marathon,female,2017
2:22:51,Helen Tola,Ethiopia,marathon,female,2017
2:22:57,Shure Demise,Ethiopia,marathon,female,2017
2:23:08,Aselefech Mergia,Ethiopia,marathon,female,2017
2:23:09,Amane Gobena,Ethiopia,marathon,female,2017
2:23:35,Vivian Cheruiyot,Kenya,marathon,female,2017
2:23:47,Mao Kiyota,Japan,marathon,female,2017
2:24:04,Hirut Tibebu,Ethiopia,marathon,female,2017
2:24:18,Meskerem Assefa,Ethiopia,marathon,female,2017
2:24:20,Nancy Kiprop,Kenya,marathon,female,2017
2:24:22,Risa Shigetomo,Japan,marathon,female,2017
2:24:25,Rebecca Kangogo,Kenya,marathon,female,2017
2:24:27,Eunice Chumba,Bahrain,marathon,female,2017
2:24:44,Madai Perez,Mexico,marathon,female,2017
2:24:51,Gladys Chesire,Kenya,marathon,female,2017
2:25:01,Letebrhan Gebreslasea,Ethiopia,marathon,female,2017
2:25:15,Lisa Weightman,Australia,marathon,female,2017
2:25:17,Roza Dereje,Ethiopia,marathon,female,2017
2:25:17,Lucy Karimi,Kenya,marathon,female,2017
2:25:23,Azmera Abreha,Ethiopia,marathon,female,2017
2:25:30,Jessica Augusto,Portugal,marathon,female,2017
2:25:32,Viola Kibiwot,Kenya,marathon,female,2017
01:55.3,Caster Semenya,South Africa,800m,female,2016
01:56.2,Francine Niyonsaba,Burkina Faso,800m,female,2016
01:56.9,Margaret Wambui,Kenya,800m,female,2016
01:57.0,Melissa Bishop,Canada,800m,female,2016
01:57.4,Joanna Józwik,Poland,800m,female,2016
01:57.5,Eunice Sum,Kenya,800m,female,2016
01:57.7,Molly Ludlow,United States,800m,female,2016
01:57.7,Lynsey Sharp,Great Britain,800m,female,2016
01:58.0,Renelle Lamote,France,800m,female,2016
01:58.3,Kate Grace,United States,800m,female,2016
01:58.4,Maryna Arzamasova,Belarus,800m,female,2016
01:58.5,Rose M. Almanza,Cuba,800m,female,2016
01:58.6,Nataliya Pryshchepa,Ukraine,800m,female,2016
01:58.8,Selina Büchel,Switzerland,800m,female,2016
01:58.8,Sahily Diago,Cuba,800m,female,2016
01:58.9,Lisneidy Veitía,Cuba,800m,female,2016
01:59.0,Angelika Cichocka,Poland,800m,female,2016
01:59.0,Habitam Alemu,Ethiopia,800m,female,2016
01:59.1,Noélie Yarigo,Benin,800m,female,2016
01:59.3,Sanne Verstegen,Holland,800m,female,2016
01:59.4,Natoya Goule,Jamaica,800m,female,2016
01:59.4,Lovisa Lindh,Sweden,800m,female,2016
01:59.4,Ajee’ Wilson,United States,800m,female,2016
01:59.5,Shelayna Oskan-Clarke,Great Britain,800m,female,2016
01:59.6,Chrishuna Williams,United States,800m,female,2016
01:59.6,Brenda Martinez,United States,800m,female,2016
01:59.7,Nataliya Lupu,Ukraine,800m,female,2016
01:59.8,Gudaf Tsegay,Ethiopia,800m,female,2016
01:59.8,Halimah Nakaayi,Uganda,800m,female,2016
01:59.9,Justine Fedronic,France,800m,female,2016
01:59.9,Winny Chebet,Kenya,800m,female,2016
